Resolution,Date,Subject,Mentions,WikiText,WikiLink,topicID
793,30-Nov-92,Angola,"[' 3,144 Code S/RES/793 ( Document ) Subject Angola Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France Russia United Kingdom United States Non-permanent members Austria Belgium Cape Verde Ecuador Hungary India Japan Morocco Venezuela Zimbabwe United Nations Security Council resolution 793 , adopted unanimously on 30 November 1992, after recalling resolutions 696 (1991), 747 (1992) and 785 (1992), and expressing its concern at the deteriorating political situation and the resumption of hostilities in Angola , the Council approved a recommendation by the Secretary-General Boutros Boutros-Ghali to extend the mandate of the United Nations Angola Verification Mission II (UNAVEM II) for a further two months until 31 January 1993', "" The resolution appealed to the personnel contributing to UNAVEM II in order to restore as soon as possible its mandated strength, and welcomed the joint declaration of the Government of Angola and UNITA made in Namibe (today's Moçâmedes ), urging both to take immediate and effective actions in accordance with the declaration"", ' The Council then condemned any resumption of hostilities and demanded that they cease immediately, further calling on all states to refrain from actions that could jeopardise the peace agreements signed', ' It called on both parties to meet their obligations under the ""Acordos de Paz"" (peace accord) with regard to the confinement of their troops, demobilisation , and the formation of the unified national armed forces, urging continuous dialogue throughout', ' [1] Finally, the resolution required the Secretary-General to submit a report on the situation in Angola together with long-term recommendations of UNAVEM II in the peace process by 31 January 1993']","UN Security Council Resolution 793 Angola Date 30 November 1992 Meeting no. 3,144 Code S/RES/793 ( Document ) Subject Angola Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France Russia United Kingdom United States Non-permanent members Austria Belgium Cape Verde Ecuador Hungary India Japan Morocco Venezuela Zimbabwe United Nations Security Council resolution 793 , adopted unanimously on 30 November 1992, after recalling resolutions 696 (1991), 747 (1992) and 785 (1992), and expressing its concern at the deteriorating political situation and the resumption of hostilities in Angola , the Council approved a recommendation by the Secretary-General Boutros Boutros-Ghali to extend the mandate of the United Nations Angola Verification Mission II (UNAVEM II) for a further two months until 31 January 1993. The resolution appealed to the personnel contributing to UNAVEM II in order to restore as soon as possible its mandated strength, and welcomed the joint declaration of the Government of Angola and UNITA made in Namibe (today's Moçâmedes ), urging both to take immediate and effective actions in accordance with the declaration. The Council then condemned any resumption of hostilities and demanded that they cease immediately, further calling on all states to refrain from actions that could jeopardise the peace agreements signed. It called on both parties to meet their obligations under the ""Acordos de Paz"" (peace accord) with regard to the confinement of their troops, demobilisation , and the formation of the unified national armed forces, urging continuous dialogue throughout. [1] Finally, the resolution required the Secretary-General to submit a report on the situation in Angola together with long-term recommendations of UNAVEM II in the peace process by 31 January 1993. See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_793,4
794,03-Dec-92,Somalia,"[' [1] The Council once again, strongly condemned violations of international humanitarian law and demanded the cessation of all hostilities from all parties involved, urging them to co-operate with the Special Representative of the Secretary-General Boutros Boutros-Ghali and military, including allowing access by military personnel and humanitarian organisations to the affected population and to ensure their safety', ' It also authorised a further deployment of 3,500 personnel of the United Nations Operation in Somalia I (UNISOM I) created in Resolution 775 to Somalia and informing it should proceed at the discretion of the Secretary-General', ' The resolution went on to endorse a recommendation by the Secretary-General that action should be taken under Chapter VII of the United Nations Charter and welcomed offers by Member States concerning the creation of an operation to create a secure environment for humanitarian operations, that later became known as UNITAF', ' At the time of his report, disarmament and the problem of security was not resolved', ' [2] The Council authorised such action to be taken by Member States, and appointed an ad hoc commission composed of members of the Security Council to report on the implementation of the current resolution', ' Acting under Chapter VII and Chapter VIII , the Council urged states and agencies to ensure strict implementation of the arms embargo against Somalia imposed in Resolution 733', ' Resolution 794 ended by requiring states participating in UNITAF and the Secretary-General to report regularly on the progress they are making in Somalia so that arrangements can be handed back over to UNISOM II']","UN Security Council Resolution 794 Two Batswana soldiers conducting raids as part of UNITAF Date 3 December 1992 Meeting no. 3,145 Code S/RES/794 ( Document ) Subject Somalia Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France Russia United Kingdom United States Non-permanent members Austria Belgium Cape Verde Ecuador Hungary India Japan Morocco Venezuela Zimbabwe United Nations Security Council resolution 794 , adopted unanimously on 3 December 1992, after reaffirming resolutions 733 (1992), 746 (1992), 751 (1992), 767 (1992) and 775 (1992), the Council ""[expressed] grave alarm"" regarding the situation in Somalia and authorised the creation of the Unified Task Force (UNITAF) to create a ""secure environment for humanitarian relief operations in Somalia"" in order to provide ""essential for the survival of the civilian population"". The current resolution determined that ""the magnitude of human tragedy caused by the conflict in Somalia, further exacerbated by the obstacles being created to the distribution of humanitarian assistance [constitutes] a threat to international peace and security"". [1] The Council once again, strongly condemned violations of international humanitarian law and demanded the cessation of all hostilities from all parties involved, urging them to co-operate with the Special Representative of the Secretary-General Boutros Boutros-Ghali and military, including allowing access by military personnel and humanitarian organisations to the affected population and to ensure their safety. It also authorised a further deployment of 3,500 personnel of the United Nations Operation in Somalia I (UNISOM I) created in Resolution 775 to Somalia and informing it should proceed at the discretion of the Secretary-General. The resolution went on to endorse a recommendation by the Secretary-General that action should be taken under Chapter VII of the United Nations Charter and welcomed offers by Member States concerning the creation of an operation to create a secure environment for humanitarian operations, that later became known as UNITAF. At the time of his report, disarmament and the problem of security was not resolved. [2] The Council authorised such action to be taken by Member States, and appointed an ad hoc commission composed of members of the Security Council to report on the implementation of the current resolution. Acting under Chapter VII and Chapter VIII , the Council urged states and agencies to ensure strict implementation of the arms embargo against Somalia imposed in Resolution 733. Resolution 794 ended by requiring states participating in UNITAF and the Secretary-General to report regularly on the progress they are making in Somalia so that arrangements can be handed back over to UNISOM II. Within days of passing the current resolution, on 9 December 1992, the first UNITAF troops arrived in the Somali capital, Mogadishu . [1] It was the first Security Council resolution that authorised the use of force under Chapter VII to deliver humanitarian aid that was being obstructed by warlords, [3] and the fourth major military engagement since the Cold War , following the invasion of Kuwait , the deployment of peacekeepers in Cambodia and a further deployment of peacekeepers in Yugoslavia . [4] See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_794,84
795,11-Dec-92,Former Yugoslav Republic of Macedonia,"[' 3,147 Code S/RES/795 ( Document ) Subject Former Yugoslav Republic of Macedonia Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France Russia United Kingdom United States Non-permanent members Austria Belgium Cape Verde Ecuador Hungary India Japan Morocco Venezuela Zimbabwe United Nations Security Council resolution 795 , adopted on 11 December 1992, after expressing concern about possible developments which could undermine confidence and stability in the former Yugoslav Republic of Macedonia and welcoming the Organization for Security and Co-operation in Europe (OSCE) mission in Macedonia, the Council recalled Chapter VIII of the United Nations Charter and authorised the Secretary-General Boutros Boutros-Ghali to deploy a presence of the United Nations Protection Force (UNPROFOR) in the border areas of Macedonia', ' The UNPROFOR ""Macedonian Command"" would monitor parts of the border areas with Albania and the Federal Republic of Yugoslavia (Serbia and Montenegro); strengthen the country\'s stability by providing a preventive force; and reporting on developments that may constitute a threat to Macedonia', ' [1] The Council requested the Secretary-General to deploy the military, civil affairs, and administrative personnel recommended in his report immediately, upon receiving the consent of the Government of the Republic of Macedonia , urging co-operation with the OSCE mission already there']","UN Security Council Resolution 795 Republic of Macedonia Date 11 December 1992 Meeting no. 3,147 Code S/RES/795 ( Document ) Subject Former Yugoslav Republic of Macedonia Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France Russia United Kingdom United States Non-permanent members Austria Belgium Cape Verde Ecuador Hungary India Japan Morocco Venezuela Zimbabwe United Nations Security Council resolution 795 , adopted on 11 December 1992, after expressing concern about possible developments which could undermine confidence and stability in the former Yugoslav Republic of Macedonia and welcoming the Organization for Security and Co-operation in Europe (OSCE) mission in Macedonia, the Council recalled Chapter VIII of the United Nations Charter and authorised the Secretary-General Boutros Boutros-Ghali to deploy a presence of the United Nations Protection Force (UNPROFOR) in the border areas of Macedonia. The UNPROFOR ""Macedonian Command"" would monitor parts of the border areas with Albania and the Federal Republic of Yugoslavia (Serbia and Montenegro); strengthen the country's stability by providing a preventive force; and reporting on developments that may constitute a threat to Macedonia. [1] The Council requested the Secretary-General to deploy the military, civil affairs, and administrative personnel recommended in his report immediately, upon receiving the consent of the Government of the Republic of Macedonia , urging co-operation with the OSCE mission already there. The military personnel would monitor the border to ensure the conflict in other parts of Yugoslavia did not spill over, while the civilian police contingent would work with local police to maintain order and protect human rights. [2] See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_795,33
796,14-Dec-92,Cyprus,"[' 3,148 Code S/RES/796 ( Document ) Subject Cyprus Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France Russia United Kingdom United States Non-permanent members Austria Belgium Cape Verde Ecuador Hungary India Japan Morocco Venezuela Zimbabwe United Nations Security Council resolution 796 , adopted unanimously on 14 December 1992, noted a report of the Secretary-General that, due to the existing circumstances, the presence of the United Nations Peacekeeping Force in Cyprus (UNFICYP) would continue to be essential for a peaceful settlement', ' The Council asked the Secretary-General to report back again before 31 May 1993, to follow the implementation of the resolution']","UN Security Council Resolution 796 UNFICYP camp Date 14 December 1992 Meeting no. 3,148 Code S/RES/796 ( Document ) Subject Cyprus Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France Russia United Kingdom United States Non-permanent members Austria Belgium Cape Verde Ecuador Hungary India Japan Morocco Venezuela Zimbabwe United Nations Security Council resolution 796 , adopted unanimously on 14 December 1992, noted a report of the Secretary-General that, due to the existing circumstances, the presence of the United Nations Peacekeeping Force in Cyprus (UNFICYP) would continue to be essential for a peaceful settlement. The Council asked the Secretary-General to report back again before 31 May 1993, to follow the implementation of the resolution. The Council reaffirmed its previous resolutions, including Resolution 365 (1974), expressed its concern over the situation, urged the involved parties to work together toward peace and once more extended the stationing of the Force in Cyprus, established in Resolution 186 (1964), until 15 June 1993. See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_796,29
797,16-Dec-92,Mozambique,"[' 3,149 Code S/RES/797 ( Document ) Subject Mozambique Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France Russia United Kingdom United States Non-permanent members Austria Belgium Cape Verde Ecuador Hungary India Japan Morocco Venezuela Zimbabwe United Nations Security Council resolution 797 , adopted unanimously on 16 December 1992, after reaffirming Resolution 782 (1992), the Council decided to establish the United Nations Operation in Mozambique (ONUMOZ) as proposed by the Secretary-General Boutros Boutros-Ghali in line with the peace agreement for Mozambique', ' [1] The Council requested the Secretary-General in planning and executing the deployment of the Operation to seek economies through phased deployment, with an initial mandate ending on 31 October 1993', ' It also demanded the Government of Mozambique and RENAMO to co-operate with the Special Representative of the Secretary-General and ONUMOZ, respecting the ceasefire and guaranteeing their safety', "" ONUMOZ's mandate was to monitor disarmament , demobilisation, reintegration of the armies and irregular military and monitor the withdrawal of foreign forces"", "" It would also authorise arrangements to protect vital infrastructure, United Nations personnel, election monitors and international operations, and monitor Mozambique's police, reporting human rights abuses"", ' [2] The first members of ONUMOZ arrived in early 1993', ' [3] [4] The resolution then invited the Secretary-General to consult closely with all the parties on the precise timing of and preparations for the presidential and legislative elections as well as on a precise timetable for the implementation of the other major aspects of the Agreement, including demobilisation , and to report back to the Council no later than 31 March 1993']","UN Security Council Resolution 797 United Nations vehicle in Mozambique Date 16 December 1992 Meeting no. 3,149 Code S/RES/797 ( Document ) Subject Mozambique Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France Russia United Kingdom United States Non-permanent members Austria Belgium Cape Verde Ecuador Hungary India Japan Morocco Venezuela Zimbabwe United Nations Security Council resolution 797 , adopted unanimously on 16 December 1992, after reaffirming Resolution 782 (1992), the Council decided to establish the United Nations Operation in Mozambique (ONUMOZ) as proposed by the Secretary-General Boutros Boutros-Ghali in line with the peace agreement for Mozambique. [1] The Council requested the Secretary-General in planning and executing the deployment of the Operation to seek economies through phased deployment, with an initial mandate ending on 31 October 1993. It also demanded the Government of Mozambique and RENAMO to co-operate with the Special Representative of the Secretary-General and ONUMOZ, respecting the ceasefire and guaranteeing their safety. ONUMOZ's mandate was to monitor disarmament , demobilisation, reintegration of the armies and irregular military and monitor the withdrawal of foreign forces. It would also authorise arrangements to protect vital infrastructure, United Nations personnel, election monitors and international operations, and monitor Mozambique's police, reporting human rights abuses. [2] The first members of ONUMOZ arrived in early 1993. [3] [4] The resolution then invited the Secretary-General to consult closely with all the parties on the precise timing of and preparations for the presidential and legislative elections as well as on a precise timetable for the implementation of the other major aspects of the Agreement, including demobilisation , and to report back to the Council no later than 31 March 1993. Resolution then requested Member States to contribute personnel, equipment and to activities in support of the peace agreement. See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_797,62
798,18-Dec-92,Bosnia and Herzegovina,"[' The Council further demanded all detention camps be closed, requesting the Secretary-General to provide support to enable the European Community delegations to have free and secure access to the places of detention, further requesting a report within 15 days of the passing of the current resolution']","UN Security Council Resolution 798 1991 census results in Bosnia and Herzegovina Date 18 December 1992 Meeting no. 3,150 Code S/RES/798 ( Document ) Subject Bosnia and Herzegovina Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France Russia United Kingdom United States Non-permanent members Austria Belgium Cape Verde Ecuador Hungary India Japan Morocco Venezuela Zimbabwe United Nations Security Council resolution 798 , adopted unanimously on 18 December 1992, after reaffirming 770 (1992) and 771 (1992) and supporting an initiative by the European Council .The Council condemned reports of the massive, organized and systematic detention and rape of women, in particular Muslim women, in Bosnia and Herzegovina during the Bosnian War . The Council further demanded all detention camps be closed, requesting the Secretary-General to provide support to enable the European Community delegations to have free and secure access to the places of detention, further requesting a report within 15 days of the passing of the current resolution. Resolution 798 was the first time the United Nations had condemned the rape of women in wartime. [1] See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_798,12
803,28-Jan-93,Israel–Lebanon,"[' 3,167 Code S/RES/803 ( Document ) Subject Israel–Lebanon Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France Russia United Kingdom United States Non-permanent members Brazil Cape Verde Djibouti Hungary Japan Morocco New Zealand Pakistan Spain Venezuela United Nations Security Council resolution 803 , adopted unanimously on 28 January 1993, after recalling previous resolutions on the topic including 501 (1982), 508 (1982), 509 (1982) and 520 (1982) as well as studying the report by the Secretary-General on the United Nations Interim Force in Lebanon (UNIFIL) approved in 426 (1978), the Council decided to extend the mandate of UNIFIL for a further six months until 31 July 1993', ' The Council then reemphasised the mandate of the Force and requested the Secretary-General to report back on the progress made with regard to the implementation of resolutions 425 (1978) and 426 (1978)']","UN Security Council Resolution 803 UNIFIL area of operation Date 28 January 1993 Meeting no. 3,167 Code S/RES/803 ( Document ) Subject Israel–Lebanon Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France Russia United Kingdom United States Non-permanent members Brazil Cape Verde Djibouti Hungary Japan Morocco New Zealand Pakistan Spain Venezuela United Nations Security Council resolution 803 , adopted unanimously on 28 January 1993, after recalling previous resolutions on the topic including 501 (1982), 508 (1982), 509 (1982) and 520 (1982) as well as studying the report by the Secretary-General on the United Nations Interim Force in Lebanon (UNIFIL) approved in 426 (1978), the Council decided to extend the mandate of UNIFIL for a further six months until 31 July 1993. The Council then reemphasised the mandate of the Force and requested the Secretary-General to report back on the progress made with regard to the implementation of resolutions 425 (1978) and 426 (1978). See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_803,51
804,29-Jan-93,Angola,"[' 3,168 Code S/RES/804 ( Document ) Subject Angola Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France Russia United Kingdom United States Non-permanent members Brazil Cape Verde Djibouti Hungary Japan Morocco New Zealand Pakistan Spain Venezuela United Nations Security Council resolution 804 , adopted unanimously on 29 January 1993, after reaffirming resolutions 696 (1991), 747 (1992), 785 (1992) and 793 (1992), and expressing its concern at lack of implementation of the ""Acordos de Paz para Angola"" in Angola , the Council approved a recommendation by the Secretary-General Boutros Boutros-Ghali to extend the mandate of the United Nations Angola Verification Mission II (UNAVEM II) for a further three months until 30 April 1993', ' The resolution condemned the violation of the ""Acordos de Paz para Angola"" peace agreement, including the resumption of hostilities during the 55 Day War , the initial rejection by UNITA of the election results, its withdrawal from the new Angolan armed forces and its seizure by force of provincial capitals and municipalities', ' It demanded that all parties cease fire, return to negotiations and agree to the full implementation of the peace agreement', ' The Council also supported the efforts of the Secretary-General Boutros Boutros-Ghali and the Special Representative for their continuing efforts in this respect', ' It was the first time that resolutions on Angola had criticised UNITA', ' [1] The resolution went on to consider the effect of Member States on the peace process', ' It urged them to provide economic and technical assistance to the Government of Angola and to support the implementation of the peace accords, and to prevent any direct or indirect interference from military or paramilitary forces', ' The Security Council also condemned the violations of international humanitarian law , seizure of foreign hostages and attacks on UNAVEM II, demanding that the Angolan government ensure its safety', ' Resolution 804 concluded by deploying UNAVEM II primarily in the capital Luanda , partly due to demands by African nations for a greater United Nations presence, [2] requesting the Secretary-General to review developments and report back to the Council before 30 April 1993']","UN Security Council Resolution 804 Angolan capital Luanda Date 29 January 1993 Meeting no. 3,168 Code S/RES/804 ( Document ) Subject Angola Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France Russia United Kingdom United States Non-permanent members Brazil Cape Verde Djibouti Hungary Japan Morocco New Zealand Pakistan Spain Venezuela United Nations Security Council resolution 804 , adopted unanimously on 29 January 1993, after reaffirming resolutions 696 (1991), 747 (1992), 785 (1992) and 793 (1992), and expressing its concern at lack of implementation of the ""Acordos de Paz para Angola"" in Angola , the Council approved a recommendation by the Secretary-General Boutros Boutros-Ghali to extend the mandate of the United Nations Angola Verification Mission II (UNAVEM II) for a further three months until 30 April 1993. The resolution condemned the violation of the ""Acordos de Paz para Angola"" peace agreement, including the resumption of hostilities during the 55 Day War , the initial rejection by UNITA of the election results, its withdrawal from the new Angolan armed forces and its seizure by force of provincial capitals and municipalities. It demanded that all parties cease fire, return to negotiations and agree to the full implementation of the peace agreement. The Council also supported the efforts of the Secretary-General Boutros Boutros-Ghali and the Special Representative for their continuing efforts in this respect. It was the first time that resolutions on Angola had criticised UNITA. [1] The resolution went on to consider the effect of Member States on the peace process. It urged them to provide economic and technical assistance to the Government of Angola and to support the implementation of the peace accords, and to prevent any direct or indirect interference from military or paramilitary forces. The Security Council also condemned the violations of international humanitarian law , seizure of foreign hostages and attacks on UNAVEM II, demanding that the Angolan government ensure its safety. Resolution 804 concluded by deploying UNAVEM II primarily in the capital Luanda , partly due to demands by African nations for a greater United Nations presence, [2] requesting the Secretary-General to review developments and report back to the Council before 30 April 1993. See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_804,4
806,05-Feb-93,Iraq–Kuwait,"[' 3,171 Code S/RES/806 ( Document ) Subject Iraq–Kuwait Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France Russia United Kingdom United States Non-permanent members Brazil Cape Verde Djibouti Hungary Japan Morocco New Zealand Pakistan Spain Venezuela United Nations Security Council resolution 806 , adopted unanimously on 5 February 1993, after recalling resolutions 687 (1991), 689 (1991) and 773 (1992) in addition to a report by the Secretary-General Boutros Boutros-Ghali , the Council, acting under Chapter VII of the United Nations Charter , guaranteed the inviolability of the international boundary between Iraq and Kuwait measures taken to enforce it, in the aftermath of Iraqi incursions into the demilitarised zone in January 1993', ' [1] The resolution then requested the Secretary-General to plan for a strengthening of the United Nations Iraq–Kuwait Observation Mission (UNIKOM) and execute a phased deployment of personnel']","UN Security Council Resolution 806 Iraq–Kuwait barrier Date 5 February 1993 Meeting no. 3,171 Code S/RES/806 ( Document ) Subject Iraq–Kuwait Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France Russia United Kingdom United States Non-permanent members Brazil Cape Verde Djibouti Hungary Japan Morocco New Zealand Pakistan Spain Venezuela United Nations Security Council resolution 806 , adopted unanimously on 5 February 1993, after recalling resolutions 687 (1991), 689 (1991) and 773 (1992) in addition to a report by the Secretary-General Boutros Boutros-Ghali , the Council, acting under Chapter VII of the United Nations Charter , guaranteed the inviolability of the international boundary between Iraq and Kuwait measures taken to enforce it, in the aftermath of Iraqi incursions into the demilitarised zone in January 1993. [1] The resolution then requested the Secretary-General to plan for a strengthening of the United Nations Iraq–Kuwait Observation Mission (UNIKOM) and execute a phased deployment of personnel. Under this provision, UNIKOM would be converted into an armed force, [2] with a 908-member Bengali infantry battalion supplementing the observer group. [1] At the same time, it granted UNIKOM the power to prevent violations in the demilitarised zone. [3] The Council concluded by reaffirming that the next review of developments relating to UNIKOM would take place in April 1993. See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_806,44
807,19-Feb-93,Croatia,"["" [1] The council concluded by urging the parties to co-operate with the Co-Chairmen of the Steering Committee of the International Conference on the Former Yugoslavia; invited the Secretary-General Boutros Boutros-Ghali to ensure rapid implementation of Resolution 802 (1993), including proposals to increase the strength and a further extension of UNPROFOR's mandate""]","UN Security Council Resolution 807 Bosnia and Herzegovina (green) and Croatia (orange) Date 19 February 1993 Meeting no. 3,174 Code S/RES/807 ( Document ) Subject Croatia Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France Russia United Kingdom United States Non-permanent members Brazil Cape Verde Djibouti Hungary Japan Morocco New Zealand Pakistan Spain Venezuela United Nations Security Council resolution 807 , adopted unanimously on 19 February 1993, after reaffirming Resolution 743 (1992) and all subsequent relevant resolutions concerning the United Nations Protection Force (UNPROFOR), the Council determined that the situation in Bosnia and Herzegovina and Croatia continued to constitute a threat to international peace and security and therefore extended the mandate of UNPROFOR for an interim period ending 31 March 1993. The current resolution demanded that all parties and others concerned co-operate with UNPROFOR and adhere to commitments to the ceasefire , as well as asking parties not to position their forces close to UNPROFOR units or in the United Nations Protected Areas (UNPAs) and pink zones. It also demanded that all the parties respect the freedom of movement of the United Nations peacekeepers so it can carry out necessary operations. [1] The council concluded by urging the parties to co-operate with the Co-Chairmen of the Steering Committee of the International Conference on the Former Yugoslavia; invited the Secretary-General Boutros Boutros-Ghali to ensure rapid implementation of Resolution 802 (1993), including proposals to increase the strength and a further extension of UNPROFOR's mandate. See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_807,28
808,22-Feb-93,Tribunal (Former Yugoslavia),"[' The resolution then requested the Secretary-General Boutros Boutros-Ghali to submit, in no later than 60 days after the adoption of the current resolution, a report on specific proposals and options relating to the implementation of the decision to establish at tribunal, including whether it has a basis in law']","UN Security Council Resolution 808 Front of the tribunal building in The Hague Date 22 February 1993 Meeting no. 3,175 Code S/RES/808 ( Document ) Subject Tribunal (Former Yugoslavia) Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France Russia United Kingdom United States Non-permanent members Brazil Cape Verde Djibouti Hungary Japan Morocco New Zealand Pakistan Spain Venezuela United Nations Security Council resolution 808 , adopted unanimously on 22 February 1993, after reaffirming Resolution 713 (1991) and subsequent resolutions on the situation in former Yugoslavia , including resolutions 764 (1992), 771 (1992) and 780 (1992), the Council, after stating its determination to put an end to crimes such as ethnic cleansing and other violations of international humanitarian law , decided that an international tribunal should be established for the prosecution of persons responsible for serious violations of international humanitarian law committed in former Yugoslavia since 1991. [1] This later became known as the International Criminal Tribunal for the former Yugoslavia . The resolution then requested the Secretary-General Boutros Boutros-Ghali to submit, in no later than 60 days after the adoption of the current resolution, a report on specific proposals and options relating to the implementation of the decision to establish at tribunal, including whether it has a basis in law. [2] At the same time, suggestions from Member States would be considered, and after the adoption of Resolution 808, proposals were submitted by France, Italy and Sweden , amongst others. [3] The tribunal would be fully established in Resolution 827 (1993). [4] See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_808,150
809,02-Mar-93,Western Sahara,"[' 3,179 Code S/RES/809 ( Document ) Subject Western Sahara Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France Russia United Kingdom United States Non-permanent members Brazil Cape Verde Djibouti Hungary Japan Morocco New Zealand Pakistan Spain Venezuela United Nations Security Council resolution 809 , adopted unanimously on 2 March 1993, after recalling resolutions 621 (1988), 658 (1990), 690 (1991) and 725 (1991), in addition to noting a report by the Secretary-General Boutros Boutros-Ghali on the situation in Western Sahara , the Council expressed concern at delays in implementing the Settlement Plan and invited the Secretary-General and his Special Representative to intensify efforts with the Government of Morocco and Polisario Front to address issues of contention, particularly with regards to voter eligibility ', ' The resolution went on to invite Boutros-Ghali to make arrangements for the organization of a referendum of self-determination of the people of Western Sahara and for efforts to commence voter registration starting with the updated lists of the 1974 census', ' [1] It also asked the Secretary-General to report back to the Security Council no later than May 1993 on the outcome of these efforts discussed in the current resolution, further requesting him to include proposals for any necessary adjustments to the present role and strength of the United Nations Mission for the Referendum in Western Sahara ', ' Resolution 809 concluded by urging both parties to co-operate with the Secretary-General to resolve outstanding issues so that a referendum could be held by the end of the year']","UN Security Council Resolution 809 Western Sahara region Date 2 March 1993 Meeting no. 3,179 Code S/RES/809 ( Document ) Subject Western Sahara Voting summary 15 voted for None voted against None abstained Result Adopted Security Council composition Permanent members China France Russia United Kingdom United States Non-permanent members Brazil Cape Verde Djibouti Hungary Japan Morocco New Zealand Pakistan Spain Venezuela United Nations Security Council resolution 809 , adopted unanimously on 2 March 1993, after recalling resolutions 621 (1988), 658 (1990), 690 (1991) and 725 (1991), in addition to noting a report by the Secretary-General Boutros Boutros-Ghali on the situation in Western Sahara , the Council expressed concern at delays in implementing the Settlement Plan and invited the Secretary-General and his Special Representative to intensify efforts with the Government of Morocco and Polisario Front to address issues of contention, particularly with regards to voter eligibility . The resolution went on to invite Boutros-Ghali to make arrangements for the organization of a referendum of self-determination of the people of Western Sahara and for efforts to commence voter registration starting with the updated lists of the 1974 census. [1] It also asked the Secretary-General to report back to the Security Council no later than May 1993 on the outcome of these efforts discussed in the current resolution, further requesting him to include proposals for any necessary adjustments to the present role and strength of the United Nations Mission for the Referendum in Western Sahara . Resolution 809 concluded by urging both parties to co-operate with the Secretary-General to resolve outstanding issues so that a referendum could be held by the end of the year. Although Morocco and the Polisario Front both agreed to the provisions of the resolution, continued disputes over the identification process of voters successively delayed plans for a referendum. [2] See als",https://en.wikipedia.org/wiki/United_Nations_Security_Council_Resolution_809,156
